"Metric","Standalone","Embedded","Delta_ms","Delta_pct","RawDeltaMs","RawDeltaPct"
"Across-Trial DOWN Event->Dispatch P50","1 ms","1 ms","+0 ms","+0%","0","0"
"Across-Trial DOWN Event->Dispatch P95","1 ms","1 ms","+0 ms","+0%","0","0"
"Across-Trial DOWN Dispatch->Callback P50","5.958 ms","5.288 ms","-0.67 ms","-11.25%","-0.67","-11.25"
"Across-Trial DOWN Draw Content Duration P50","0.008 ms","0.008 ms","+0 ms","+0%","0","0"
"Across-Trial DOWN Event->DrawStart P50","6.958 ms","6.141 ms","-0.817 ms","-11.74%","-0.817","-11.74"
"Across-Trial DOWN Event->DrawStart P95","10.361 ms","10.568 ms","+0.207 ms","+2%","0.207","2"
"Across-Trial DOWN Event->DrawStart P99","11.776 ms","11.346 ms","-0.43 ms","-3.65%","-0.43","-3.65"
"Across-Trial MOVE Event->DrawStart P50","6.388 ms","6.332 ms","-0.056 ms","-0.88%","-0.056","-0.88"
"Across-Trial MOVE Event->DrawStart P95","8.426 ms","8.411 ms","-0.015 ms","-0.18%","-0.015","-0.18"
"Across-Trial MOVE Event->DrawStart P99","11.668 ms","10.86 ms","-0.808 ms","-6.92%","-0.808","-6.92"
"Pooled DOWN Event->DrawStart P50","6.818 ms","6.086 ms","-0.732 ms","-10.74%","-0.732","-10.74"
"Pooled DOWN Event->DrawStart P95","10.465 ms","10.753 ms","+0.288 ms","+2.75%","0.288","2.75"
"Pooled DOWN Event->DrawStart P99","11.865 ms","11.437 ms","-0.428 ms","-3.61%","-0.428","-3.61"
"Pooled MOVE Event->DrawStart P50","6.373 ms","6.328 ms","-0.045 ms","-0.71%","-0.045","-0.71"
"Pooled MOVE Event->DrawStart P95","8.486 ms","8.443 ms","-0.043 ms","-0.51%","-0.043","-0.51"
"Pooled MOVE Event->DrawStart P99","11.448 ms","11.23 ms","-0.218 ms","-1.9%","-0.218","-1.9"
"Total Valid Records (6 Trials)","4743","4748","5","N/A","0","0"
"Rejected / Invalid Records (6 Trials)","0","0","0","N/A","0","0"
