"Trial","Order","EmbeddingVerified","EmbeddedHwnd","PhysicalViewport","Std_Down_P50","Std_Down_P95","Std_Down_P99","Std_Move_P50","Std_Move_P95","Std_Valid","Std_Rejected","Emb_Down_P50","Emb_Down_P95","Emb_Down_P99","Emb_Move_P50","Emb_Move_P95","Emb_Valid","Emb_Rejected"
"1","Standalone -> Embedded","True","0x5A0C5C","1566x760","7.654","11.947","31.323","6.374","8.282","788","0","6.501","10.383","11.035","6.29","8.316","795","0"
"2","Embedded -> Standalone","True","0x5A0C5C","1566x760","6.934","10.984","12.656","6.483","9.443","772","0","6.414","10.885","11.539","6.498","8.831","779","0"
"3","Standalone -> Embedded","True","0x5A0C5C","1566x760","6.916","10.47","11.765","6.598","8.684","785","0","6.554","9.611","10.823","6.329","8.191","796","0"
"4","Embedded -> Standalone","True","0x5A0C5C","1566x760","7.158","10.185","10.936","6.691","10.775","745","0","6.794","10.69","11.483","6.415","8.532","793","0"
"5","Standalone -> Embedded","True","0x5A0C5C","1566x760","5.482","10.121","11.1","6.444","8.745","784","0","7.203","10.411","11.006","6.4","8.744","776","0"
"6","Embedded -> Standalone","True","0x5A0C5C","1566x760","6.595","10.181","11.21","6.445","8.96","775","0","5.801","10.611","11.056","6.419","8.772","790","0"
