"Metric","Standalone","Embedded","Delta_ms","Delta_pct","RawDeltaMs","RawDeltaPct"
"Across-Trial DOWN Event->Dispatch P50","1 ms","1 ms","+0 ms","+0%","0","0"
"Across-Trial DOWN Event->Dispatch P95","1.5 ms","1 ms","-0.5 ms","-33.33%","-0.5","-33.33"
"Across-Trial DOWN Dispatch->Callback P50","5.927 ms","5.729 ms","-0.198 ms","-3.34%","-0.198","-3.34"
"Across-Trial DOWN Draw Content Duration P50","0.01 ms","0.008 ms","-0.002 ms","-20%","-0.002","-20"
"Across-Trial DOWN Event->DrawStart P50","6.925 ms","6.528 ms","-0.397 ms","-5.73%","-0.397","-5.73"
"Across-Trial DOWN Event->DrawStart P95","10.328 ms","10.511 ms","+0.183 ms","+1.77%","0.183","1.77"
"Across-Trial DOWN Event->DrawStart P99","11.488 ms","11.046 ms","-0.442 ms","-3.85%","-0.442","-3.85"
"Across-Trial MOVE Event->DrawStart P50","6.464 ms","6.408 ms","-0.056 ms","-0.87%","-0.056","-0.87"
"Across-Trial MOVE Event->DrawStart P95","8.852 ms","8.638 ms","-0.214 ms","-2.42%","-0.214","-2.42"
"Across-Trial MOVE Event->DrawStart P99","12.614 ms","11.591 ms","-1.023 ms","-8.11%","-1.023","-8.11"
"Pooled DOWN Event->DrawStart P50","6.835 ms","6.612 ms","-0.223 ms","-3.26%","-0.223","-3.26"
"Pooled DOWN Event->DrawStart P95","10.763 ms","10.562 ms","-0.201 ms","-1.87%","-0.201","-1.87"
"Pooled DOWN Event->DrawStart P99","12.396 ms","11.405 ms","-0.991 ms","-7.99%","-0.991","-7.99"
"Pooled MOVE Event->DrawStart P50","6.474 ms","6.377 ms","-0.097 ms","-1.5%","-0.097","-1.5"
"Pooled MOVE Event->DrawStart P95","9.026 ms","8.577 ms","-0.449 ms","-4.97%","-0.449","-4.97"
"Pooled MOVE Event->DrawStart P99","12.748 ms","11.794 ms","-0.954 ms","-7.48%","-0.954","-7.48"
"Total Valid Records (6 Trials)","4649","4729","80","N/A","0","0"
"Rejected / Invalid Records (6 Trials)","0","0","0","N/A","0","0"
