"Metric","Standalone","Embedded","Delta_ms","Delta_pct","RawDeltaMs","RawDeltaPct"
"Across-Trial DOWN Event->Dispatch P50","1 ms","1 ms","+0 ms","+0%","0","0"
"Across-Trial DOWN Event->Dispatch P95","1 ms","1 ms","+0 ms","+0%","0","0"
"Across-Trial DOWN Dispatch->Callback P50","5.815 ms","5.722 ms","-0.093 ms","-1.6%","-0.093","-1.6"
"Across-Trial DOWN Draw Content Duration P50","0.001 ms","0.001 ms","+0 ms","+0%","0","0"
"Across-Trial DOWN Event->DrawStart P50","6.356 ms","6.408 ms","+0.052 ms","+0.82%","0.052","0.82"
"Across-Trial DOWN Event->DrawStart P95","10.58 ms","10.188 ms","-0.392 ms","-3.71%","-0.392","-3.71"
"Across-Trial DOWN Event->DrawStart P99","11.39 ms","11.099 ms","-0.291 ms","-2.55%","-0.291","-2.55"
"Across-Trial MOVE Event->DrawStart P50","6.127 ms","6.128 ms","+0.001 ms","+0.02%","0.001","0.02"
"Across-Trial MOVE Event->DrawStart P95","7.465 ms","7.493 ms","+0.028 ms","+0.38%","0.028","0.38"
"Across-Trial MOVE Event->DrawStart P99","11.095 ms","10.134 ms","-0.961 ms","-8.66%","-0.961","-8.66"
"Pooled DOWN Event->DrawStart P50","6.517 ms","6.336 ms","-0.181 ms","-2.78%","-0.181","-2.78"
"Pooled DOWN Event->DrawStart P95","10.641 ms","10.245 ms","-0.396 ms","-3.72%","-0.396","-3.72"
"Pooled DOWN Event->DrawStart P99","11.818 ms","11.347 ms","-0.471 ms","-3.99%","-0.471","-3.99"
"Pooled MOVE Event->DrawStart P50","6.127 ms","6.128 ms","+0.001 ms","+0.02%","0.001","0.02"
"Pooled MOVE Event->DrawStart P95","7.463 ms","7.454 ms","-0.009 ms","-0.12%","-0.009","-0.12"
"Pooled MOVE Event->DrawStart P99","11.098 ms","10.18 ms","-0.918 ms","-8.27%","-0.918","-8.27"
"Total Expected DOWN Events (6 Trials)","420","420","0","N/A","0","0"
"Total Observed DOWN Events (6 Trials)","420","420","0","N/A","0","0"
"Total Missing DOWN Events (6 Trials)","0","0","0","N/A","0","0"
"Total Valid Records (6 Trials)","4806","4816","10","N/A","0","0"
"Rejected / Invalid Records (6 Trials)","0","0","0","N/A","0","0"
