"Metric","Standalone","Embedded","Delta_ms","Delta_pct","RawDeltaMs","RawDeltaPct"
"DOWN Event->Dispatch P50","1 ms","1 ms","+0 ms","+0%","0","0"
"DOWN Event->Dispatch P95","3 ms","2 ms","-1 ms","-33.33%","-1","-33.33"
"DOWN Event->Draw P50","7.493 ms","7.495 ms","+0.002 ms","+0.03%","0.002","0.03"
"DOWN Event->Draw P95","12.363 ms","12.261 ms","-0.102 ms","-0.83%","-0.102","-0.83"
"DOWN Event->Draw P99","20.886 ms","12.783 ms","-8.103 ms","-38.8%","-8.103","-38.8"
"MOVE Event->Draw P50","7.028 ms","6.732 ms","-0.296 ms","-4.21%","-0.296","-4.21"
"MOVE Event->Draw P95","10.459 ms","9.438 ms","-1.021 ms","-9.76%","-1.021","-9.76"
"MOVE Event->Draw P99","13.589 ms","13.77 ms","+0.181 ms","+1.33%","0.181","1.33"
"Initial State Penalty (Cold - Warm)","19.401 ms","-1.985 ms","-21.386 ms","-110.23%","-21.386","-110.23"
"Total Valid Events","1089","1101","12","N/A","0","0"
"Missing / Invalid Events","0","0","0","N/A","0","0"
